ProcessName,SER.COOLING.HIGH-CONSUMPTION,SER.COOKING,SER.COMPUTING,SER.SPACE-HEAT.HIGH-CONSUMPTION,SER.SPACE-HEAT.LOW-CONSUMPTION,SER.LIGHTING.OFFICE,SER.LIGHTING.OTHER,SER.OTHER,SER.REFRIGERATION,SER.HOT-WATER.HIGH-CONSUMPTION,SER.HOT-WATER.LOW-CONSUMPTION,CO2f,RegionName,Time
Unit,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,kt/PJ,-,year
SCSHACON01 [SER.HEAT.HIGH-CONSUMPTION: .01.CONSERVATION.EFFICIENT-AIR-CONDITIONING.],0,0,0,1,0,0,0,0,0,0,0,0.0,UK,2010
SCSHCAVW01 [SER.HEAT.HIGH-CONSUMPTION: .01.CONSERVATION.CAVITY-WALL-INSULATION.],0,0,0,1,0,0,0,0,0,0,0,0.0,UK,2010
SCSHPTHM01 [SER.HEAT.HIGH-CONSUMPTION: .01.CONSERVATION.PROGRAMMABLE-THERMOSTATS.],0,0,0,1,0,0,0,0,0,0,0,50.14900158370755,UK,2010
SCSHROFF01 [SER.HEAT.HIGH-CONSUMPTION: .01.CONSERVATION.FLAT-ROOF-INSULATION.],0,0,0,1,0,0,0,0,0,0,0,0.0,UK,2010
SCSHROFP01 [SER.HEAT.HIGH-CONSUMPTION: .01.CONSERVATION.PITCHED-ROOF-INSULATION.],0,0,0,1,0,0,0,0,0,0,0,0.0,UK,2010
SCSLCAVW01 [SER.HEAT.LOW-CONSUMPTION: .01.CONSERVATION.CAVITY-WALL-INSULATION.],0,0,0,0,1,0,0,0,0,0,0,0.0,UK,2010
SCSLPTHM01 [SER.HEAT.LOW-CONSUMPTION: .01.CONSERVATION.PROGRAMMABLE-THERMOSTATS.],0,0,0,0,1,0,0,0,0,0,0,0.0,UK,2010
SCSLROFF01 [SER.HEAT.LOW-CONSUMPTION: .01.CONSERVATION.FLAT-ROOF-INSULATION.],0,0,0,0,1,0,0,0,0,0,0,70.27115814432203,UK,2010
SCSLROFP01 [SER.HEAT.LOW-CONSUMPTION: .01.CONSERVATION.PITCHED-ROOF-INSULATION.],0,0,0,0,1,0,0,0,0,0,0,50.14900158370755,UK,2010
SHHA-CAE01 [SER.HEAT.HIGH-CONSUMPTION: .01.ELC.AIR-CONDITIONER.HFC.AIR.],0,0,0,1,0,0,0,0,0,0,0,0.0,UK,2010
SHHA-CAE02 [SER.HEAT.HIGH-CONSUMPTION.02.ELC.AIR-CONDITIONER.HFO-HC.AIR.],0,0,0,1,0,0,0,0,0,0,0,0.0,UK,2010
SHHBLRRC01 [SER.HEAT.HIGH-CONSUMPTION: .01.HCO.BOILER.STD.RADIATOR.],0,0,0,1,0,0,0,0,0,0,0,70.27115814432203,UK,2010
SHHBLRRE01 [SER.HEAT.HIGH-CONSUMPTION: .01.ELC.BOILER.STD.RADIATOR.],0,0,0,1,0,0,0,0,0,0,0,0.0,UK,2010
SHHBLRRG01 [SER.HEAT.HIGH-CONSUMPTION: .01.NGA.BOILER.STD.RADIATOR.],0,0,0,1,0,0,0,0,0,0,0,50.14900158370755,UK,2010
SHHBLRRH01 [SER.HEAT.HIGH-CONSUMPTION: .01.HYG.BOILER.STD.RADIATOR.],0,0,0,1,0,0,0,0,0,0,0,50.14900158370755,UK,2010
SHHBLRRO01 [SER.HEAT.HIGH-CONSUMPTION: .01.LFO.BOILER.STD.RADIATOR.],0,0,0,1,0,0,0,0,0,0,0,70.27115814432203,UK,2010
SHHBLRRW01 [SER.HEAT.HIGH-CONSUMPTION: .01.WOD.BOILER.STD.RADIATOR.],0,0,0,1,0,0,0,0,0,0,0,0.0,UK,2010
SHHCSV01 [SER.HEAT.HIGH-CONSUMPTION: .01.CONSERVATION-MEASURES.],0,0,0,1,0,0,0,0,0,0,0,70.27115814432203,UK,2010
