commodity,consumption,period,region,season,timeslice,units_prices,year
res.consumer-electronics.tv,2.29160000000,Day,UK,S,9,0,2010
res.freezers,0.52700000000,Day,UK,S,9,0,2010
res.computers,0.71490000000,Day,UK,S,9,0,2010
res.refrigerators,1.20580000000,Day,UK,S,9,0,2010
res.lighting,55.35940000000,Day,UK,S,9,0,2010
res.other,0.97720000000,Day,UK,S,9,0,2010
res.wet.appliances,1.84880000000,Day,UK,S,9,0,2010
res.space-heat.existing-average,2.15530000000,Day,UK,S,9,0,2010
res.space-heat.new-average,0.00230000000,Day,UK,S,9,0,2010
res.hot-water.existing-average,3.72930000000,Day,UK,S,9,0,2010
res.hot-water.new-average,0.01770000000,Day,UK,S,9,0,2010
nga,19.65660000000,Peak,UK,S,10,12.552,2010
bog,0.01840000000,Peak,UK,S,10,0,2010
biomass,0.01550000000,Peak,UK,S,10,10.019,2010
elc,26.19370000000,Peak,UK,S,10,43.34267522,2010
oil,1.52360000000,Peak,UK,S,10,19.7944343,2010
hco,0.59490000000,Peak,UK,S,10,19.7944343,2010
lfo,0.32230000000,Peak,UK,S,10,19.7944343,2010
wood,1.12920000000,Peak,UK,S,10,10.019,2010
ser.cooling.high-consumption,3.40640000000,Peak,UK,S,10,0,2010
ser.computing,0.47840000000,Peak,UK,S,10,0,2010
ser.space-heat.high-consumption,0.15980000000,Peak,UK,S,10,0,2010
ser.space-heat.low-consumption,0.54730000000,Peak,UK,S,10,0,2010
ser.lighting.office,7.87800000000,Peak,UK,S,10,0,2010
ser.lighting.other,3.55660000000,Peak,UK,S,10,0,2010
ser.other,1.34360000000,Peak,UK,S,10,0,2010
ser.refrigeration,4.15800000000,Peak,UK,S,10,0,2010
ser.hot-water.high-consumption,2.00900000000,Peak,UK,S,10,0,2010
ser.hot-water.low-consumption,1.07090000000,Peak,UK,S,10,0,2010
res.cooking.other,0.24740000000,Peak,UK,S,10,0,2010
res.cooking.hobs,0.33750000000,Peak,UK,S,10,0,2010
res.cooking.ovens,0.30380000000,Peak,UK,S,10,0,2010
res.consumer-electronics.tv,1.43230000000,Peak,UK,S,10,0,2010
res.freezers,0.92220000000,Peak,UK,S,10,0,2010
res.computers,0.19060000000,Peak,UK,S,10,0,2010
res.refrigerators,2.11010000000,Peak,UK,S,10,0,2010
res.lighting,13.83980000000,Peak,UK,S,10,0,2010
res.other,0.85500000000,Peak,UK,S,10,0,2010
res.space-heat.existing-average,5.27590000000,Peak,UK,S,10,0,2010
res.space-heat.new-average,0.00570000000,Peak,UK,S,10,0,2010
res.hot-water.existing-average,13.70740000000,Peak,UK,S,10,0,2010
res.hot-water.new-average,0.06490000000,Peak,UK,S,10,0,2010
nga,16.71030000000,Evening,UK,S,11,12.552,2010
bog,0.01340000000,Evening,UK,S,11,0,2010
biomass,0.01120000000,Evening,UK,S,11,10.019,2010
elc,32.94380000000,Evening,UK,S,11,43.34267522,2010
oil,0.92320000000,Evening,UK,S,11,19.7944343,2010
hco,0.25670000000,Evening,UK,S,11,19.7944343,2010
