technology,dst_region,region,installed,agent,sector,type,year,capacity
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.]; RCHEOVEN01 [RES.COOKING: .01.OVEN.ELECTRIC.],UK,UK,2010,Agent1,building,newcapa,2020,18.36390000000
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.]; RCHEOVEN01 [RES.COOKING: .01.OVEN.ELECTRIC.],UK,UK,2015,Agent1,building,newcapa,2020,31.55550000000
RCHGHOB00 [RES.COOKING: .00.HOB.GAS.]; RCHGHOB01 [RES.COOKING: .01.HOB.GAS.],UK,UK,2010,Agent1,building,newcapa,2020,11.93690000000
RCHGOVEN00 [RES.COOKING: .00.OVEN.GAS.]; RCHGOVEN01 [RES.COOKING: .01.OVEN.GAS.],UK,UK,2010,Agent1,building,newcapa,2020,5.90160000000
RCHPEA-CCG00 [RES.CHP.EXISTING-AVERAGE: .00.COMBINED-CYCLE.NGA.],UK,UK,2010,Agent1,building,newcapa,2020,0.10910000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.]; REAUDVIS01 [RES.CONSUMER-ELECTRONICS: .01.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,UK,2010,Agent1,building,newcapa,2020,59.91450000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.]; REAUDVIS01 [RES.CONSUMER-ELECTRONICS: .01.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,UK,2015,Agent1,building,newcapa,2020,24.12160000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,UK,2010,Agent1,building,newcapa,2020,16.64000000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,UK,2015,Agent1,building,newcapa,2020,8.02540000000
RECOLFRE01 [RES.FREEZERS: .01.CLASS-A+.],UK,UK,2010,Agent1,building,newcapa,2020,7.61660000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,UK,2010,Agent1,building,newcapa,2020,25.19250000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,UK,2015,Agent1,building,newcapa,2020,10.42470000000
RECOLREF01 [RES.REFRIGERATORS: .01.CLASS-A+.],UK,UK,2010,Agent1,building,newcapa,2020,30.30690000000
RECOLREF01 [RES.REFRIGERATORS: .01.CLASS-A+.],UK,UK,2015,Agent1,building,newcapa,2020,8.36220000000
RECOMPUT00 [RES.COMPUTERS: .00.]; RECOMPUT01 [RES.COMPUTERS: .01.],UK,UK,2015,Agent1,building,newcapa,2020,28.83710000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.]; RELITENS01 [RES.LIGHTING: .01.ENERGY-SAVING.],UK,UK,2010,Agent1,building,newcapa,2020,1616.98930000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.]; RELITENS01 [RES.LIGHTING: .01.ENERGY-SAVING.],UK,UK,2015,Agent1,building,newcapa,2020,554.53430000000
RELITLED00 [RES.LIGHTING: .00.LED.]; RELITLED01 [RES.LIGHTING: .01.LED.],UK,UK,2010,Agent1,building,newcapa,2020,8.52480000000
REOTHER00 [RES.OTHER: .00.ALL.]; REOTHER01 [RES.OTHER: .01.ALL.],UK,UK,2010,Agent1,building,newcapa,2020,16.48170000000
REOTHER00 [RES.OTHER: .00.ALL.]; REOTHER01 [RES.OTHER: .01.ALL.],UK,UK,2015,Agent1,building,newcapa,2020,20.16710000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.]; REWETALL01 [RES.WET-APPLIANCES: .01.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2010,Agent1,building,newcapa,2020,44.17820000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.]; REWETALL01 [RES.WET-APPLIANCES: .01.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2015,Agent1,building,newcapa,2020,25.16160000000
RHEAAHPRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.HEAT PUMP.AIR.RADIATOR.],UK,UK,2010,Agent1,building,newcapa,2020,1.77930000000
RHEABLCRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.CON.RADIATOR.],UK,UK,2010,Agent1,building,newcapa,2020,1613.16170000000
RHEABLCRO00 [RES.HEAT.EXISTING-AVERAGE: .00.OIL.BOILER.CON.RADIATOR.],UK,UK,2010,Agent1,building,newcapa,2020,30.08610000000
RHEABLRRC00 [RES.HEAT.EXISTING-AVERAGE: .00.HCO.BOILER.STD.RADIATOR.],UK,UK,2010,Agent1,building,newcapa,2020,83.40210000000
RHEABLRRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.BOILER.STD.RADIATOR.],UK,UK,2010,Agent1,building,newcapa,2020,14.67830000000
RHEABLRRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.STD.RADIATOR.],UK,UK,2010,Agent1,building,newcapa,2020,4582.06320000000
RHEABLRRO00 [RES.HEAT.EXISTING-AVERAGE: .00.OIL.BOILER.STD.RADIATOR.],UK,UK,2010,Agent1,building,newcapa,2020,429.24390000000
RHEABLRRW00 [RES.HEAT.EXISTING-AVERAGE: .00.WOD.BOILER.STD.RADIATOR.],UK,UK,2010,Agent1,building,newcapa,2020,3.69150000000
RHEANSTRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.RESISTANCE.STANDALONE.NIGHT-STORAGE.],UK,UK,2010,Agent1,building,newcapa,2020,324.25090000000
RHEARAD00 [RES.HEAT.EXISTING-AVERAGE: .00.HTP.RADIATOR.]; RHEARAD01 [RES.HEAT.EXISTING-AVERAGE: .01.HTP.RADIATOR.],UK,UK,2010,Agent1,building,newcapa,2020,2307.24310000000
RHEASA00 [RES.HEAT.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2010,Agent1,building,newcapa,2020,182.83740000000
RHEASHTRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.RESISTANCE.STANDALONE.],UK,UK,2010,Agent1,building,newcapa,2020,83.34380000000
RHEASHTRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.HEATER.STANDALONE.],UK,UK,2010,Agent1,building,newcapa,2020,112.18690000000
