ProcessName,RegionName,Time,Level,NGA,BOG,BIOMASS,ELC,OIL,HCO,LFO,WOOD,HYDROGEN,PELLETS,SOLAR,KEROSENE
Unit,-,year,-,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
SHLAHBUE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.HEAT PUMP.AIR.NGA.BOILER.UNDERFLOOR.],UK,2010,fixed,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLAHHRE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.HEAT PUMP.AIR.HYG.BOILER.RADIATOR.],UK,2010,fixed,0.0,0.0,0.0,0.44558763014547104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLAHHUE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.HEAT PUMP.AIR.HYG.BOILER.UNDERFLOOR.],UK,2010,fixed,0.0,0.0,0.0,0.37692201831669486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLAHPRE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.HEAT PUMP.AIR.RADIATOR.],UK,2010,fixed,0.0,0.0,0.0,0.44558763014547104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLAHPUE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.HEAT PUMP.AIR.UNDERFLOOR.],UK,2010,fixed,0.0,0.0,0.0,0.37692201831669486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLAHSRE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.HEAT PUMP.AIR.SOLAR-THERMAL.RADIATOR.],UK,2010,fixed,0.0,0.0,0.0,0.44558763014547104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLAHSUE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.HEAT PUMP.AIR.SOLAR-THERMAL.UNDERFLOOR.],UK,2010,fixed,0.0,0.0,0.0,0.37692201831669486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLBLCRG01 [SER.HEAT.LOW-CONSUMPTION: .01.NGA.BOILER.CON.RADIATOR.],UK,2010,fixed,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLBLCRH01 [SER.HEAT.LOW-CONSUMPTION: .01.HYG.BOILER.CON.RADIATOR.],UK,2010,fixed,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLBLCRO01 [SER.HEAT.LOW-CONSUMPTION: .01.OIL.BOILER.CON.RADIATOR.],UK,2010,fixed,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLBLCRP01 [SER.HEAT.LOW-CONSUMPTION: .01.PELH.BOILER.CON.RADIATOR.],UK,2010,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1764705882352942,0.0,0
SHLBLRRE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.BOILER.CON.RADIATOR.],UK,2010,fixed,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLBLRRW01 [SER.HEAT.LOW-CONSUMPTION: .01.WOD.BOILER.CON.RADIATOR.],UK,2010,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0
