commodity,period,prices,region,season,timeslice,units_prices,year
hco,Day,17.90350000000,UK,W,1,19.7944343,2015
lfo,Day,17.90350000000,UK,W,1,19.7944343,2015
wood,Day,11.84850000000,UK,W,1,10.019,2015
hydrogen,Day,105.01680000000,UK,W,1,105.016835,2015
pellets,Day,17.93240000000,UK,W,1,20.58703511,2015
ser.cooking,Day,2.06490000000,UK,W,1,0,2015
ser.computing,Day,30.51800000000,UK,W,1,0,2015
ser.space-heat.high-consumption,Day,10.83470000000,UK,W,1,0,2015
ser.space-heat.low-consumption,Day,0.53970000000,UK,W,1,0,2015
ser.lighting.office,Day,0.05650000000,UK,W,1,0,2015
ser.lighting.other,Day,0.03590000000,UK,W,1,0,2015
ser.other,Day,0.26220000000,UK,W,1,0,2015
ser.refrigeration,Day,5.74380000000,UK,W,1,0,2015
ser.hot-water.high-consumption,Day,0.52970000000,UK,W,1,0,2015
ser.hot-water.low-consumption,Day,2.28930000000,UK,W,1,0,2015
nga,Peak,12.47950000000,UK,W,2,12.552,2015
biomass,Peak,11.84850000000,UK,W,2,10.019,2015
elc,Peak,45.82250000000,UK,W,2,43.34267522,2015
oil,Peak,19.79440000000,UK,W,2,19.7944343,2015
hco,Peak,17.90350000000,UK,W,2,19.7944343,2015
lfo,Peak,17.90350000000,UK,W,2,19.7944343,2015
wood,Peak,11.84850000000,UK,W,2,10.019,2015
hydrogen,Peak,105.01680000000,UK,W,2,105.016835,2015
pellets,Peak,17.93240000000,UK,W,2,20.58703511,2015
ser.computing,Peak,9.15540000000,UK,W,2,0,2015
ser.space-heat.high-consumption,Peak,1.67610000000,UK,W,2,0,2015
ser.space-heat.low-consumption,Peak,0.09900000000,UK,W,2,0,2015
ser.lighting.office,Peak,0.01700000000,UK,W,2,0,2015
ser.lighting.other,Peak,0.01080000000,UK,W,2,0,2015
ser.other,Peak,0.07870000000,UK,W,2,0,2015
ser.refrigeration,Peak,1.72310000000,UK,W,2,0,2015
ser.hot-water.high-consumption,Peak,0.12570000000,UK,W,2,0,2015
ser.hot-water.low-consumption,Peak,0.15150000000,UK,W,2,0,2015
nga,Evening,12.47950000000,UK,W,3,12.552,2015
