commodity,consumption,period,region,season,timeslice,units_prices,year
nga,28.58280000000,Night,UK,W,0,12.552,2015
bog,0.01750000000,Night,UK,W,0,0,2015
biomass,0.01720000000,Night,UK,W,0,10.019,2015
elc,41.48780000000,Night,UK,W,0,43.34267522,2015
oil,1.69460000000,Night,UK,W,0,19.7944343,2015
hco,15.52280000000,Night,UK,W,0,19.7944343,2015
lfo,4.89750000000,Night,UK,W,0,19.7944343,2015
wood,2.50850000000,Night,UK,W,0,10.019,2015
hydrogen,0.55540000000,Night,UK,W,0,105.016835,2015
ser.cooling.high-consumption,14.30510000000,Night,UK,W,0,0,2015
ser.cooking,6.50430000000,Night,UK,W,0,0,2015
ser.computing,2.20380000000,Night,UK,W,0,0,2015
ser.space-heat.high-consumption,17.49200000000,Night,UK,W,0,0,2015
ser.space-heat.low-consumption,8.82520000000,Night,UK,W,0,0,2015
ser.lighting.office,23.55620000000,Night,UK,W,0,0,2015
ser.lighting.other,10.63470000000,Night,UK,W,0,0,2015
ser.other,2.04070000000,Night,UK,W,0,0,2015
ser.refrigeration,5.26260000000,Night,UK,W,0,0,2015
ser.hot-water.high-consumption,4.23570000000,Night,UK,W,0,0,2015
ser.hot-water.low-consumption,1.80230000000,Night,UK,W,0,0,2015
nga,37.00310000000,Day,UK,W,1,12.552,2015
bog,0.00700000000,Day,UK,W,1,0,2015
biomass,0.00690000000,Day,UK,W,1,10.019,2015
elc,19.32720000000,Day,UK,W,1,43.34267522,2015
oil,0.98980000000,Day,UK,W,1,19.7944343,2015
hco,3.57470000000,Day,UK,W,1,19.7944343,2015
lfo,5.11420000000,Day,UK,W,1,19.7944343,2015
wood,0.99180000000,Day,UK,W,1,10.019,2015
hydrogen,0.09260000000,Day,UK,W,1,105.016835,2015
ser.cooling.high-consumption,1.08650000000,Day,UK,W,1,0,2015
ser.cooking,1.08400000000,Day,UK,W,1,0,2015
ser.computing,0.33900000000,Day,UK,W,1,0,2015
ser.space-heat.high-consumption,4.40960000000,Day,UK,W,1,0,2015
ser.space-heat.low-consumption,3.15510000000,Day,UK,W,1,0,2015
ser.lighting.office,7.85210000000,Day,UK,W,1,0,2015
ser.lighting.other,3.54490000000,Day,UK,W,1,0,2015
ser.other,0.81630000000,Day,UK,W,1,0,2015
ser.refrigeration,2.10500000000,Day,UK,W,1,0,2015
ser.hot-water.high-consumption,0.78380000000,Day,UK,W,1,0,2015
ser.hot-water.low-consumption,0.36050000000,Day,UK,W,1,0,2015
