commodity,consumption,period,region,season,timeslice,units_prices,year
elc,60.57140000000,Day,UK,P,5,43.34267522,2015
nga,107.42420000000,Day,UK,P,5,12.552,2015
oil,11.06880000000,Day,UK,P,5,19.7944343,2015
hco,2.51110000000,Day,UK,P,5,19.7944343,2015
wood,0.56210000000,Day,UK,P,5,10.019,2015
res.cooking.other,0.51800000000,Day,UK,P,5,0,2015
res.cooking.hobs,0.70670000000,Day,UK,P,5,0,2015
res.cooking.ovens,0.63600000000,Day,UK,P,5,0,2015
res.consumer-electronics.tv,2.37130000000,Day,UK,P,5,0,2015
res.freezers,0.45980000000,Day,UK,P,5,0,2015
res.computers,0.92470000000,Day,UK,P,5,0,2015
res.refrigerators,1.05200000000,Day,UK,P,5,0,2015
res.lighting,72.44770000000,Day,UK,P,5,0,2015
res.other,1.02310000000,Day,UK,P,5,0,2015
res.wet.appliances,1.93560000000,Day,UK,P,5,0,2015
res.space-heat.existing-average,37.81970000000,Day,UK,P,5,0,2015
res.space-heat.new-average,1.02750000000,Day,UK,P,5,0,2015
res.hot-water.existing-average,4.60470000000,Day,UK,P,5,0,2015
res.hot-water.new-average,0.24560000000,Day,UK,P,5,0,2015
elc,57.32860000000,Peak,UK,P,6,43.34267522,2015
nga,58.50960000000,Peak,UK,P,6,12.552,2015
oil,6.03060000000,Peak,UK,P,6,19.7944343,2015
hco,1.36810000000,Peak,UK,P,6,19.7944343,2015
wood,0.30620000000,Peak,UK,P,6,10.019,2015
res.cooking.other,0.25900000000,Peak,UK,P,6,0,2015
res.cooking.hobs,0.35330000000,Peak,UK,P,6,0,2015
res.cooking.ovens,0.31800000000,Peak,UK,P,6,0,2015
res.consumer-electronics.tv,1.48210000000,Peak,UK,P,6,0,2015
res.freezers,0.80460000000,Peak,UK,P,6,0,2015
res.computers,0.24660000000,Peak,UK,P,6,0,2015
res.refrigerators,1.84090000000,Peak,UK,P,6,0,2015
res.lighting,18.11190000000,Peak,UK,P,6,0,2015
res.other,0.89520000000,Peak,UK,P,6,0,2015
res.space-heat.existing-average,41.98130000000,Peak,UK,P,6,0,2015
res.space-heat.new-average,1.14060000000,Peak,UK,P,6,0,2015
res.hot-water.existing-average,15.31230000000,Peak,UK,P,6,0,2015
res.hot-water.new-average,0.81670000000,Peak,UK,P,6,0,2015
elc,84.48100000000,Evening,UK,P,7,43.34267522,2015
nga,35.77490000000,Evening,UK,P,7,12.552,2015
oil,3.48840000000,Evening,UK,P,7,19.7944343,2015
hco,0.79140000000,Evening,UK,P,7,19.7944343,2015
wood,0.17710000000,Evening,UK,P,7,10.019,2015
res.cooking.other,1.81310000000,Evening,UK,P,7,0,2015
res.cooking.hobs,2.47340000000,Evening,UK,P,7,0,2015
res.cooking.ovens,2.22610000000,Evening,UK,P,7,0,2015
res.consumer-electronics.tv,2.07490000000,Evening,UK,P,7,0,2015
res.freezers,0.34480000000,Evening,UK,P,7,0,2015
res.computers,0.83220000000,Evening,UK,P,7,0,2015
res.refrigerators,0.78900000000,Evening,UK,P,7,0,2015
res.lighting,72.44770000000,Evening,UK,P,7,0,2015
res.other,0.76730000000,Evening,UK,P,7,0,2015
res.wet.appliances,1.45170000000,Evening,UK,P,7,0,2015
res.space-heat.existing-average,62.34160000000,Evening,UK,P,7,0,2015
res.space-heat.new-average,1.69380000000,Evening,UK,P,7,0,2015
res.hot-water.existing-average,10.99830000000,Evening,UK,P,7,0,2015
res.hot-water.new-average,0.58660000000,Evening,UK,P,7,0,2015
elc,62.39390000000,Night,UK,S,8,43.34267522,2015
nga,17.89540000000,Night,UK,S,8,12.552,2015
