ProcessName,RegionName,Time,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Fuel,EndUse,Agent2
Unit,-,year,MGBP2020/PJ_a,-,MGBP2020/PJ_a,-,MGBP2020/PJ,-,PJ,%,PJ,years,-,PJ,%,-,-,-,new
SWHDPIP00 [SER.WATER.HIGH-CONSUMPTION: .00.PIPE.DELIVERY.],UK,2010,48.8002364061346,1,0.976004728122691,1,0,1,2.0,100,100000000.0,50.0,1.0,1,1.0,0.1,WOOD,SER.HOT-WATER.HIGH-CONSUMPTION,1
SWHDSTD00 [SER.WATER.HIGH-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,2010,0.000525551139084136,1,0.0,1,0,1,2.0,100,100000000.0,50.0,1.0,1,1.0,0.1,ELC,SER.HOT-WATER.HIGH-CONSUMPTION,1
SWHWHTRE00 [SER.WATER.HIGH-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],UK,2010,6.99200913242009,1,0.349600456621005,1,0,1,2.0,100,100000000.0,20.0,1.0,1,1.0,0.1,ELC,SER.HOT-WATER.HIGH-CONSUMPTION,1
SWLDSTD00 [SER.WATER.LOW-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,2010,0.000604577645330003,1,0.000604577645330003,1,0,1,2.0,100,100000000.0,50.0,1.0,1,1.0,0.1,NGA,SER.HOT-WATER.LOW-CONSUMPTION,1
SWLWHTRE00 [SER.WATER.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],UK,2010,11.0641722133044,1,1.10641722133044,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.85,0.1,ELC,SER.HOT-WATER.LOW-CONSUMPTION,1
SWLWHTRG00 [SER.WATER.LOW-CONSUMPTION: .00.NGA.BOILER.STD.STANDALONE.],UK,2010,10.6826490335353,1,1.06826490335353,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.8,0.1,NGA,SER.HOT-WATER.LOW-CONSUMPTION,1
SCHCSV01 [SER.COOLTH.HIGH-CONSUMPTION: .01.CONSERVATION-MEASURES.],UK,2010,0.000219760900140647,1,0.000219760900140647,1,0,1,100000000.0,100,100000000.0,50.0,1.0,1,1.0,0.1,ELC,SER.COOLING.HIGH-CONSUMPTION,1
SCHDAIR01 [SER.COOLTH.HIGH-CONSUMPTION: .01.AIR.DELIVERY.],UK,2010,0.000219760900140647,1,0.000219760900140647,1,0,1,100000000.0,100,100000000.0,50.0,1.0,1,1.0,0.1,NGA,SER.COOLING.HIGH-CONSUMPTION,1
SCHP-ADM01 [SER.CHP: .01.ENERGY-TO-WASTE.ANAEROBIC-DIGESTION.MSWBIO.],UK,2010,3098.0,1,310.0,1,0,1,100000000.0,100,100000000.0,20.0,0.75,1,0.8,0.1,BIOMASS,SER.OTHER,1
SCHP-CCG01 [SER.CHP: .01.COMBINED-CYCLE.NGA.],UK,2010,423.684210526316,1,16.8421052631579,1,0,1,100000000.0,100,100000000.0,25.0,0.326629417259473,1,0.8,0.1,NGA,SER.OTHER,1
