technology,dst_region,region,installed,agent,sector,type,year,capacity
RHEASA01 [RES.HEAT.EXISTING-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2030,Agent1,residential,newcapa,2035,205.04230000000
RHNASA01 [RES.HEAT.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2010,Agent1,residential,newcapa,2035,77.09950000000
RHNASA01 [RES.HEAT.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2015,Agent1,residential,newcapa,2035,77.08130000000
RHNASA01 [RES.HEAT.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2020,Agent1,residential,newcapa,2035,2.76590000000
RHNASA01 [RES.HEAT.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2025,Agent1,residential,newcapa,2035,69.15970000000
RHNASA01 [RES.HEAT.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2030,Agent1,residential,newcapa,2035,65.05920000000
RWEACSV01 [RES.WATER.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],UK,UK,2010,Agent1,residential,newcapa,2035,217.85630000000
RWEACSV01 [RES.WATER.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],UK,UK,2020,Agent1,residential,newcapa,2035,0.18450000000
RWEASA00 [RES.WATER.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2010,Agent1,residential,newcapa,2035,22.30550000000
RWEASA00 [RES.WATER.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2015,Agent1,residential,newcapa,2035,6.98950000000
RWEASA00 [RES.WATER.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2020,Agent1,residential,newcapa,2035,10.00000000000
RWEASA01 [RES.WATER.EXISTING-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2010,Agent1,residential,newcapa,2035,217.85630000000
RWEASA01 [RES.WATER.EXISTING-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2020,Agent1,residential,newcapa,2035,0.18450000000
RCEOTHER00 [RES.COOKING: .00.OTHER.KETTLE.MICROWAVE],UK,UK,2035,Agent1,residential,newcapa,2040,10.00000000000
RCEOTHER01 [RES.COOKING: .01.OTHER.KETTLE.MICROWAVE],UK,UK,2035,Agent1,residential,newcapa,2040,26.38140000000
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],UK,UK,2025,Agent1,residential,newcapa,2040,3.99720000000
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],UK,UK,2030,Agent1,residential,newcapa,2040,10.01080000000
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],UK,UK,2035,Agent1,residential,newcapa,2040,10.00000000000
RCHEHOB01 [RES.COOKING: .01.HOB.ELECTRIC.],UK,UK,2025,Agent1,residential,newcapa,2040,3.99720000000
RCHEHOB01 [RES.COOKING: .01.HOB.ELECTRIC.],UK,UK,2030,Agent1,residential,newcapa,2040,18.70690000000
RCHEHOB01 [RES.COOKING: .01.HOB.ELECTRIC.],UK,UK,2035,Agent1,residential,newcapa,2040,13.27910000000
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],UK,UK,2025,Agent1,residential,newcapa,2040,3.59750000000
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],UK,UK,2030,Agent1,residential,newcapa,2040,10.01100000000
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],UK,UK,2035,Agent1,residential,newcapa,2040,10.00000000000
RCHEOVEN01 [RES.COOKING: .01.OVEN.ELECTRIC.],UK,UK,2025,Agent1,residential,newcapa,2040,3.59750000000
RCHEOVEN01 [RES.COOKING: .01.OVEN.ELECTRIC.],UK,UK,2030,Agent1,residential,newcapa,2040,16.83620000000
RCHEOVEN01 [RES.COOKING: .01.OVEN.ELECTRIC.],UK,UK,2035,Agent1,residential,newcapa,2040,11.95050000000
RCHGHOB00 [RES.COOKING: .00.HOB.GAS.],UK,UK,2030,Agent1,residential,newcapa,2040,4.35340000000
RCHGHOB00 [RES.COOKING: .00.HOB.GAS.],UK,UK,2035,Agent1,residential,newcapa,2040,1.63950000000
RCHGHOB01 [RES.COOKING: .01.HOB.GAS.],UK,UK,2030,Agent1,residential,newcapa,2040,4.35340000000
RCHGHOB01 [RES.COOKING: .01.HOB.GAS.],UK,UK,2035,Agent1,residential,newcapa,2040,1.63950000000
RCHGOVEN00 [RES.COOKING: .00.OVEN.GAS.],UK,UK,2030,Agent1,residential,newcapa,2040,3.41810000000
RCHGOVEN00 [RES.COOKING: .00.OVEN.GAS.],UK,UK,2035,Agent1,residential,newcapa,2040,0.97530000000
RCHGOVEN01 [RES.COOKING: .01.OVEN.GAS.],UK,UK,2030,Agent1,residential,newcapa,2040,3.41810000000
RCHGOVEN01 [RES.COOKING: .01.OVEN.GAS.],UK,UK,2035,Agent1,residential,newcapa,2040,0.97530000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,UK,2030,Agent1,residential,newcapa,2040,10.00000000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,UK,2035,Agent1,residential,newcapa,2040,10.00000000000
