commodity,period,prices,region,season,timeslice,units_prices,year
elc,Peak,,UK,A,14,43.34267522,2010
nga,Peak,,UK,A,14,12.552,2010
oil,Peak,,UK,A,14,19.7944343,2010
hco,Peak,,UK,A,14,19.7944343,2010
wood,Peak,,UK,A,14,10.019,2010
solar,Peak,,UK,A,14,0.0,2010
hydrogen,Peak,,UK,A,14,105.016835,2010
biomass,Peak,,UK,A,14,10.019,2010
kerosene,Peak,,UK,A,14,18.21616657,2010
pellets,Peak,,UK,A,14,20.58703511,2010
res.cooking.other,Peak,,UK,A,14,0,2010
res.cooking.hobs,Peak,,UK,A,14,0,2010
res.cooking.ovens,Peak,,UK,A,14,0,2010
res.consumer-electronics.tv,Peak,,UK,A,14,0,2010
res.freezers,Peak,,UK,A,14,0,2010
res.cooling,Peak,,UK,A,14,0,2010
res.computers,Peak,,UK,A,14,0,2010
res.refrigerators,Peak,,UK,A,14,0,2010
res.lighting,Peak,,UK,A,14,0,2010
res.other,Peak,,UK,A,14,0,2010
res.wet.appliances,Peak,,UK,A,14,0,2010
res.space-heat.existing-average,Peak,,UK,A,14,0,2010
res.space-heat.new-average,Peak,,UK,A,14,0,2010
res.hot-water.existing-average,Peak,,UK,A,14,0,2010
res.hot-water.new-average,Peak,,UK,A,14,0,2010
CO2f,Peak,,UK,A,14,0,2010
elc,Evening,,UK,A,15,43.34267522,2010
nga,Evening,,UK,A,15,12.552,2010
oil,Evening,,UK,A,15,19.7944343,2010
hco,Evening,,UK,A,15,19.7944343,2010
wood,Evening,,UK,A,15,10.019,2010
solar,Evening,,UK,A,15,0.0,2010
hydrogen,Evening,,UK,A,15,105.016835,2010
biomass,Evening,,UK,A,15,10.019,2010
kerosene,Evening,,UK,A,15,18.21616657,2010
pellets,Evening,,UK,A,15,20.58703511,2010
res.cooking.other,Evening,,UK,A,15,0,2010
res.cooking.hobs,Evening,,UK,A,15,0,2010
res.cooking.ovens,Evening,,UK,A,15,0,2010
res.consumer-electronics.tv,Evening,,UK,A,15,0,2010
res.freezers,Evening,,UK,A,15,0,2010
res.cooling,Evening,,UK,A,15,0,2010
res.computers,Evening,,UK,A,15,0,2010
res.refrigerators,Evening,,UK,A,15,0,2010
res.lighting,Evening,,UK,A,15,0,2010
res.other,Evening,,UK,A,15,0,2010
res.wet.appliances,Evening,,UK,A,15,0,2010
res.space-heat.existing-average,Evening,,UK,A,15,0,2010
res.space-heat.new-average,Evening,,UK,A,15,0,2010
res.hot-water.existing-average,Evening,,UK,A,15,0,2010
res.hot-water.new-average,Evening,,UK,A,15,0,2010
CO2f,Evening,,UK,A,15,0,2010
elc,Night,45.82250000000,UK,W,0,43.34267522,2015
nga,Night,12.47950000000,UK,W,0,12.552,2015
oil,Night,19.79440000000,UK,W,0,19.7944343,2015
